nohup: ignoring input
Detected GPUs: 1 GPU(s)
 - NVIDIA GeForce RTX 4090
[Info] No previous replay or train_state found, start from scratch.
[EP 89] Buffer=47055, T=0.93, Loss=4.4212, Policy Loss=3.0780, Value Loss=0.7047
[EP 90] Buffer=47429, T=0.93, Loss=4.4200, Policy Loss=3.0838, Value Loss=0.6998
[EP 91] Buffer=47850, T=0.93, Loss=4.4356, Policy Loss=3.0805, Value Loss=0.7210
[EP 92] Buffer=48168, T=0.92, Loss=4.4267, Policy Loss=3.0785, Value Loss=0.7161
[EP 93] Buffer=48531, T=0.92, Loss=4.3934, Policy Loss=3.0797, Value Loss=0.6838
[EP 94] Buffer=48976, T=0.92, Loss=4.3842, Policy Loss=3.0625, Value Loss=0.6938
[EP 95] Buffer=49429, T=0.92, Loss=4.3733, Policy Loss=3.0682, Value Loss=0.6793
[EP 96] Buffer=49862, T=0.92, Loss=4.3774, Policy Loss=3.0658, Value Loss=0.6878
[EP 97] Buffer=50000, T=0.92, Loss=4.3887, Policy Loss=3.0633, Value Loss=0.7037
[EP 98] Buffer=50000, T=0.92, Loss=4.3527, Policy Loss=3.0542, Value Loss=0.6789
[EP 99] Buffer=50000, T=0.92, Loss=4.3393, Policy Loss=3.0456, Value Loss=0.6760
[EP 100] Saving checkpoint and starting evaluation...
[EP 101] Buffer=50000, T=0.92, Loss=4.3756, Policy Loss=3.0331, Value Loss=0.7288
[EP 102] Buffer=50000, T=0.92, Loss=4.3334, Policy Loss=3.0238, Value Loss=0.6981
[EP 103] Buffer=50000, T=0.92, Loss=4.2921, Policy Loss=3.0202, Value Loss=0.6626
[EP 104] Buffer=50000, T=0.92, Loss=4.2804, Policy Loss=3.0079, Value Loss=0.6654
[EP 105] Buffer=50000, T=0.91, Loss=4.2687, Policy Loss=3.0073, Value Loss=0.6566
[EP 106] Buffer=50000, T=0.91, Loss=4.2960, Policy Loss=3.0183, Value Loss=0.6749
[EP 107] Buffer=50000, T=0.91, Loss=4.2637, Policy Loss=3.0138, Value Loss=0.6492
[EP 108] Buffer=50000, T=0.91, Loss=4.2406, Policy Loss=2.9999, Value Loss=0.6421
[EP 109] Buffer=50000, T=0.91, Loss=4.2564, Policy Loss=3.0089, Value Loss=0.6510
[EP 110] Buffer=50000, T=0.91, Loss=4.2408, Policy Loss=2.9871, Value Loss=0.6592
[EP 111] Buffer=50000, T=0.91, Loss=4.2324, Policy Loss=2.9823, Value Loss=0.6576
[EP 112] Buffer=50000, T=0.91, Loss=4.2347, Policy Loss=2.9842, Value Loss=0.6599
[EP 113] Buffer=50000, T=0.91, Loss=4.2305, Policy Loss=2.9782, Value Loss=0.6638
[EP 114] Buffer=50000, T=0.91, Loss=4.2203, Policy Loss=2.9864, Value Loss=0.6474
[EP 115] Buffer=50000, T=0.91, Loss=4.1862, Policy Loss=2.9543, Value Loss=0.6473
[EP 116] Buffer=50000, T=0.91, Loss=4.2040, Policy Loss=2.9592, Value Loss=0.6622
[EP 117] Buffer=50000, T=0.90, Loss=4.1673, Policy Loss=2.9576, Value Loss=0.6290
[EP 118] Buffer=50000, T=0.90, Loss=4.1558, Policy Loss=2.9421, Value Loss=0.6349
[EP 119] Buffer=50000, T=0.90, Loss=4.1678, Policy Loss=2.9360, Value Loss=0.6550
[EP 120] Saving checkpoint and starting evaluation...
[EP 121] Buffer=50000, T=0.90, Loss=4.2026, Policy Loss=2.9390, Value Loss=0.6902
[EP 122] Buffer=50000, T=0.90, Loss=4.1400, Policy Loss=2.9332, Value Loss=0.6352
[EP 123] Buffer=50000, T=0.90, Loss=4.1265, Policy Loss=2.9196, Value Loss=0.6371
[EP 124] Buffer=50000, T=0.90, Loss=4.0988, Policy Loss=2.9180, Value Loss=0.6126
[EP 125] Buffer=50000, T=0.90, Loss=4.1343, Policy Loss=2.9174, Value Loss=0.6506
[EP 126] Buffer=50000, T=0.90, Loss=4.0905, Policy Loss=2.8912, Value Loss=0.6348
[EP 127] Buffer=50000, T=0.90, Loss=4.1063, Policy Loss=2.9006, Value Loss=0.6430
[EP 128] Buffer=50000, T=0.90, Loss=4.0915, Policy Loss=2.8749, Value Loss=0.6556
[EP 129] Buffer=50000, T=0.89, Loss=4.0862, Policy Loss=2.9079, Value Loss=0.6191
[EP 130] Buffer=50000, T=0.89, Loss=4.0689, Policy Loss=2.8799, Value Loss=0.6315
[EP 131] Buffer=50000, T=0.89, Loss=4.0641, Policy Loss=2.8942, Value Loss=0.6141
[EP 132] Buffer=50000, T=0.89, Loss=4.0768, Policy Loss=2.8878, Value Loss=0.6348
[EP 133] Buffer=50000, T=0.89, Loss=4.0430, Policy Loss=2.8733, Value Loss=0.6172
[EP 134] Buffer=50000, T=0.89, Loss=4.0533, Policy Loss=2.8643, Value Loss=0.6382
[EP 135] Buffer=50000, T=0.89, Loss=4.0481, Policy Loss=2.8582, Value Loss=0.6407
[EP 136] Buffer=50000, T=0.89, Loss=4.0423, Policy Loss=2.8629, Value Loss=0.6319
[EP 137] Buffer=50000, T=0.89, Loss=4.0368, Policy Loss=2.8503, Value Loss=0.6405
[EP 138] Buffer=50000, T=0.89, Loss=4.0158, Policy Loss=2.8487, Value Loss=0.6228
[EP 139] Buffer=50000, T=0.89, Loss=3.9909, Policy Loss=2.8464, Value Loss=0.6017
[EP 140] Saving checkpoint and starting evaluation...
[EP 140] Evaluation done. Win rate: 0.00% (AI: 0, Minimax: 1, Draws: 0)
[EP 141] Buffer=50000, T=0.88, Loss=4.0109, Policy Loss=2.8393, Value Loss=0.6319
[EP 142] Buffer=50000, T=0.88, Loss=3.9914, Policy Loss=2.8303, Value Loss=0.6230
[EP 143] Buffer=50000, T=0.88, Loss=3.9994, Policy Loss=2.8319, Value Loss=0.6309
[EP 144] Buffer=50000, T=0.88, Loss=3.9855, Policy Loss=2.8265, Value Loss=0.6239
[EP 145] Buffer=50000, T=0.88, Loss=4.0146, Policy Loss=2.8287, Value Loss=0.6523
[EP 146] Buffer=50000, T=0.88, Loss=3.9772, Policy Loss=2.8181, Value Loss=0.6269
[EP 147] Buffer=50000, T=0.88, Loss=3.9591, Policy Loss=2.8117, Value Loss=0.6168
[EP 148] Buffer=50000, T=0.88, Loss=3.9834, Policy Loss=2.8060, Value Loss=0.6482
[EP 149] Buffer=50000, T=0.88, Loss=3.9581, Policy Loss=2.7945, Value Loss=0.6359
[EP 150] Buffer=50000, T=0.88, Loss=3.9563, Policy Loss=2.7888, Value Loss=0.6411
[EP 151] Buffer=50000, T=0.88, Loss=3.9500, Policy Loss=2.7948, Value Loss=0.6303
[EP 152] Buffer=50000, T=0.88, Loss=3.9233, Policy Loss=2.7708, Value Loss=0.6290
[EP 153] Buffer=50000, T=0.87, Loss=3.9482, Policy Loss=2.7982, Value Loss=0.6278
[EP 154] Buffer=50000, T=0.87, Loss=3.9348, Policy Loss=2.7666, Value Loss=0.6474
[EP 155] Buffer=50000, T=0.87, Loss=3.9176, Policy Loss=2.7691, Value Loss=0.6291
[EP 156] Buffer=50000, T=0.87, Loss=3.9396, Policy Loss=2.7745, Value Loss=0.6471
[EP 157] Buffer=50000, T=0.87, Loss=3.9084, Policy Loss=2.7666, Value Loss=0.6251
[EP 158] Buffer=50000, T=0.87, Loss=3.9094, Policy Loss=2.7614, Value Loss=0.6327
[EP 159] Buffer=50000, T=0.87, Loss=3.9466, Policy Loss=2.7573, Value Loss=0.6754
[EP 160] Saving checkpoint and starting evaluation...
[EP 161] Buffer=50000, T=0.87, Loss=3.9163, Policy Loss=2.7413, Value Loss=0.6636
[EP 162] Buffer=50000, T=0.87, Loss=3.9330, Policy Loss=2.7583, Value Loss=0.6646
[EP 163] Buffer=50000, T=0.87, Loss=3.8945, Policy Loss=2.7351, Value Loss=0.6507
[EP 164] Buffer=50000, T=0.87, Loss=3.8913, Policy Loss=2.7532, Value Loss=0.6307
[EP 165] Buffer=50000, T=0.86, Loss=3.8718, Policy Loss=2.7260, Value Loss=0.6398
[EP 166] Buffer=50000, T=0.86, Loss=3.8971, Policy Loss=2.7462, Value Loss=0.6462
[EP 167] Buffer=50000, T=0.86, Loss=3.8977, Policy Loss=2.7411, Value Loss=0.6533
[EP 168] Buffer=50000, T=0.86, Loss=3.8977, Policy Loss=2.7296, Value Loss=0.6660
[EP 169] Buffer=50000, T=0.86, Loss=3.8614, Policy Loss=2.7272, Value Loss=0.6334
[EP 170] Buffer=50000, T=0.86, Loss=3.8725, Policy Loss=2.7198, Value Loss=0.6531
[EP 171] Buffer=50000, T=0.86, Loss=3.8583, Policy Loss=2.6999, Value Loss=0.6602
[EP 172] Buffer=50000, T=0.86, Loss=3.8747, Policy Loss=2.7074, Value Loss=0.6703
[EP 173] Buffer=50000, T=0.86, Loss=3.8366, Policy Loss=2.6979, Value Loss=0.6429
[EP 174] Buffer=50000, T=0.86, Loss=3.8454, Policy Loss=2.6959, Value Loss=0.6550
[EP 175] Buffer=50000, T=0.86, Loss=3.8485, Policy Loss=2.6859, Value Loss=0.6692
[EP 176] Buffer=50000, T=0.86, Loss=3.8410, Policy Loss=2.6970, Value Loss=0.6520
[EP 177] Buffer=50000, T=0.85, Loss=3.8286, Policy Loss=2.6869, Value Loss=0.6509
[EP 178] Buffer=50000, T=0.85, Loss=3.8329, Policy Loss=2.6758, Value Loss=0.6675
[EP 179] Buffer=50000, T=0.85, Loss=3.8311, Policy Loss=2.6949, Value Loss=0.6478
[EP 180] Buffer=50000, T=0.85, Loss=3.8404, Policy Loss=2.6699, Value Loss=0.6833
[EP 181] Buffer=50000, T=0.85, Loss=3.8035, Policy Loss=2.6495, Value Loss=0.6679
[EP 182] Buffer=50000, T=0.85, Loss=3.8296, Policy Loss=2.6728, Value Loss=0.6719
[EP 183] Buffer=50000, T=0.85, Loss=3.8232, Policy Loss=2.6686, Value Loss=0.6709
[EP 184] Buffer=50000, T=0.85, Loss=3.7997, Policy Loss=2.6565, Value Loss=0.6607
[EP 185] Buffer=50000, T=0.85, Loss=3.8110, Policy Loss=2.6501, Value Loss=0.6795
[EP 186] Buffer=50000, T=0.85, Loss=3.7909, Policy Loss=2.6500, Value Loss=0.6606
[EP 187] Buffer=50000, T=0.85, Loss=3.7876, Policy Loss=2.6490, Value Loss=0.6595
[EP 188] Buffer=50000, T=0.85, Loss=3.7699, Policy Loss=2.6293, Value Loss=0.6627
[EP 189] Buffer=50000, T=0.84, Loss=3.7893, Policy Loss=2.6389, Value Loss=0.6736
[EP 190] Buffer=50000, T=0.84, Loss=3.7951, Policy Loss=2.6437, Value Loss=0.6757
[EP 191] Buffer=50000, T=0.84, Loss=3.7725, Policy Loss=2.6360, Value Loss=0.6619
[EP 192] Buffer=50000, T=0.84, Loss=3.7589, Policy Loss=2.6356, Value Loss=0.6499
[EP 193] Buffer=50000, T=0.84, Loss=3.7551, Policy Loss=2.6195, Value Loss=0.6632
[EP 194] Buffer=50000, T=0.84, Loss=3.7505, Policy Loss=2.6094, Value Loss=0.6698
[EP 195] Buffer=50000, T=0.84, Loss=3.7549, Policy Loss=2.6154, Value Loss=0.6693
[EP 196] Buffer=50000, T=0.84, Loss=3.7463, Policy Loss=2.6347, Value Loss=0.6425
[EP 197] Buffer=50000, T=0.84, Loss=3.7373, Policy Loss=2.6172, Value Loss=0.6521
[EP 198] Buffer=50000, T=0.84, Loss=3.7431, Policy Loss=2.6180, Value Loss=0.6582
[EP 199] Buffer=50000, T=0.84, Loss=3.7144, Policy Loss=2.6066, Value Loss=0.6419
[EP 200] Saving checkpoint and starting evaluation...
[EP 201] Buffer=50000, T=0.84, Loss=3.7751, Policy Loss=2.6154, Value Loss=0.6958
[EP 202] Buffer=50000, T=0.83, Loss=3.7449, Policy Loss=2.6007, Value Loss=0.6812
[EP 203] Buffer=50000, T=0.83, Loss=3.7462, Policy Loss=2.6153, Value Loss=0.6688
[EP 204] Buffer=50000, T=0.83, Loss=3.7231, Policy Loss=2.6057, Value Loss=0.6564
[EP 205] Buffer=50000, T=0.83, Loss=3.7060, Policy Loss=2.5869, Value Loss=0.6591
[EP 206] Buffer=50000, T=0.83, Loss=3.7122, Policy Loss=2.5910, Value Loss=0.6622
[EP 207] Buffer=50000, T=0.83, Loss=3.7229, Policy Loss=2.5823, Value Loss=0.6828
[EP 208] Buffer=50000, T=0.83, Loss=3.7039, Policy Loss=2.5786, Value Loss=0.6684
[EP 209] Buffer=50000, T=0.83, Loss=3.6889, Policy Loss=2.5713, Value Loss=0.6618
[EP 210] Buffer=50000, T=0.83, Loss=3.7074, Policy Loss=2.5795, Value Loss=0.6731
[EP 211] Buffer=50000, T=0.83, Loss=3.7042, Policy Loss=2.5780, Value Loss=0.6725
[EP 212] Buffer=50000, T=0.83, Loss=3.6676, Policy Loss=2.5582, Value Loss=0.6567
[EP 213] Buffer=50000, T=0.83, Loss=3.7047, Policy Loss=2.5779, Value Loss=0.6751
[EP 214] Buffer=50000, T=0.82, Loss=3.6820, Policy Loss=2.5419, Value Loss=0.6893
[EP 215] Buffer=50000, T=0.82, Loss=3.6793, Policy Loss=2.5481, Value Loss=0.6813
[EP 216] Buffer=50000, T=0.82, Loss=3.6875, Policy Loss=2.5560, Value Loss=0.6826
[EP 217] Buffer=50000, T=0.82, Loss=3.7043, Policy Loss=2.5620, Value Loss=0.6943
[EP 218] Buffer=50000, T=0.82, Loss=3.6774, Policy Loss=2.5660, Value Loss=0.6644
[EP 219] Buffer=50000, T=0.82, Loss=3.6448, Policy Loss=2.5359, Value Loss=0.6630
[EP 220] Buffer=50000, T=0.82, Loss=3.6553, Policy Loss=2.5382, Value Loss=0.6720
[EP 221] Buffer=50000, T=0.82, Loss=3.6770, Policy Loss=2.5436, Value Loss=0.6893
[EP 222] Buffer=50000, T=0.82, Loss=3.6684, Policy Loss=2.5466, Value Loss=0.6786
[EP 223] Buffer=50000, T=0.82, Loss=3.6439, Policy Loss=2.5330, Value Loss=0.6687
[EP 224] Buffer=50000, T=0.82, Loss=3.6333, Policy Loss=2.5153, Value Loss=0.6767
[EP 225] Buffer=50000, T=0.82, Loss=3.6532, Policy Loss=2.5379, Value Loss=0.6749
[EP 226] Buffer=50000, T=0.81, Loss=3.6179, Policy Loss=2.5139, Value Loss=0.6646
[EP 227] Buffer=50000, T=0.81, Loss=3.6469, Policy Loss=2.5329, Value Loss=0.6755
[EP 228] Buffer=50000, T=0.81, Loss=3.6189, Policy Loss=2.5095, Value Loss=0.6718
[EP 229] Buffer=50000, T=0.81, Loss=3.6450, Policy Loss=2.5104, Value Loss=0.6979
[EP 230] Buffer=50000, T=0.81, Loss=3.5985, Policy Loss=2.5028, Value Loss=0.6600
[EP 231] Buffer=50000, T=0.81, Loss=3.6251, Policy Loss=2.5014, Value Loss=0.6888
[EP 232] Buffer=50000, T=0.81, Loss=3.6158, Policy Loss=2.5151, Value Loss=0.6668
[EP 233] Buffer=50000, T=0.81, Loss=3.6040, Policy Loss=2.4990, Value Loss=0.6719
[EP 234] Buffer=50000, T=0.81, Loss=3.6063, Policy Loss=2.5047, Value Loss=0.6694
[EP 235] Buffer=50000, T=0.81, Loss=3.5832, Policy Loss=2.4809, Value Loss=0.6711
[EP 236] Buffer=50000, T=0.81, Loss=3.5691, Policy Loss=2.4772, Value Loss=0.6616
[EP 237] Buffer=50000, T=0.81, Loss=3.5633, Policy Loss=2.4742, Value Loss=0.6597
[EP 238] Buffer=50000, T=0.80, Loss=3.5688, Policy Loss=2.4838, Value Loss=0.6566
[EP 239] Buffer=50000, T=0.80, Loss=3.5705, Policy Loss=2.4743, Value Loss=0.6686
[EP 240] Buffer=50000, T=0.80, Loss=3.5660, Policy Loss=2.4734, Value Loss=0.6659
[EP 241] Buffer=50000, T=0.80, Loss=3.5796, Policy Loss=2.4925, Value Loss=0.6613
[EP 242] Buffer=50000, T=0.80, Loss=3.5594, Policy Loss=2.4631, Value Loss=0.6712
[EP 243] Buffer=50000, T=0.80, Loss=3.5384, Policy Loss=2.4581, Value Loss=0.6562
[EP 244] Buffer=50000, T=0.80, Loss=3.5381, Policy Loss=2.4638, Value Loss=0.6510
[EP 245] Buffer=50000, T=0.80, Loss=3.5054, Policy Loss=2.4581, Value Loss=0.6249
[EP 246] Buffer=50000, T=0.80, Loss=3.5296, Policy Loss=2.4551, Value Loss=0.6530
[EP 247] Buffer=50000, T=0.80, Loss=3.5240, Policy Loss=2.4550, Value Loss=0.6483
[EP 248] Buffer=50000, T=0.80, Loss=3.5500, Policy Loss=2.4511, Value Loss=0.6791
[EP 249] Buffer=50000, T=0.80, Loss=3.5330, Policy Loss=2.4573, Value Loss=0.6567
[EP 250] Buffer=50000, T=0.79, Loss=3.5454, Policy Loss=2.4455, Value Loss=0.6818
[EP 251] Buffer=50000, T=0.79, Loss=3.5293, Policy Loss=2.4307, Value Loss=0.6813
[EP 252] Buffer=50000, T=0.79, Loss=3.5351, Policy Loss=2.4380, Value Loss=0.6806
[EP 253] Buffer=50000, T=0.79, Loss=3.5174, Policy Loss=2.4347, Value Loss=0.6670
[EP 254] Buffer=50000, T=0.79, Loss=3.5563, Policy Loss=2.4537, Value Loss=0.6877
[EP 255] Buffer=50000, T=0.79, Loss=3.5227, Policy Loss=2.4350, Value Loss=0.6735
[EP 256] Buffer=50000, T=0.79, Loss=3.5414, Policy Loss=2.4363, Value Loss=0.6916
[EP 257] Buffer=50000, T=0.79, Loss=3.5254, Policy Loss=2.4439, Value Loss=0.6688
[EP 258] Buffer=50000, T=0.79, Loss=3.5211, Policy Loss=2.4301, Value Loss=0.6791
[EP 259] Buffer=50000, T=0.79, Loss=3.5170, Policy Loss=2.4366, Value Loss=0.6695
[EP 260] Buffer=50000, T=0.79, Loss=3.5178, Policy Loss=2.4247, Value Loss=0.6829
[EP 261] Buffer=50000, T=0.79, Loss=3.5228, Policy Loss=2.4168, Value Loss=0.6966
[EP 262] Buffer=50000, T=0.78, Loss=3.5317, Policy Loss=2.4303, Value Loss=0.6928
[EP 263] Buffer=50000, T=0.78, Loss=3.4923, Policy Loss=2.4087, Value Loss=0.6758
[EP 264] Buffer=50000, T=0.78, Loss=3.4964, Policy Loss=2.4123, Value Loss=0.6770
[EP 265] Buffer=50000, T=0.78, Loss=3.5325, Policy Loss=2.4145, Value Loss=0.7117
[EP 266] Buffer=50000, T=0.78, Loss=3.5261, Policy Loss=2.4200, Value Loss=0.7006
